"forbrukergruppe";"år";"Forbruk i alt"
"Jern, stål og ferrolegeringer";"2015";4978
"Jern, stål og ferrolegeringer";"2016";5083
"Jern, stål og ferrolegeringer";"2017";5322
"Jern, stål og ferrolegeringer";"2018";5296
"Jern, stål og ferrolegeringer";"2019";4996
"Jern, stål og ferrolegeringer";"2020";4973
"Jern, stål og ferrolegeringer";"2021";5110
"Jern, stål og ferrolegeringer";"2022";5062
"Jern, stål og ferrolegeringer";"2023";4713
"Ikke-jernholdige metall";"1993";16510
"Ikke-jernholdige metall";"1994";16266
"Ikke-jernholdige metall";"1995";16233
"Ikke-jernholdige metall";"1996";16302
"Ikke-jernholdige metall";"1997";17783
"Ikke-jernholdige metall";"1998";18539
"Ikke-jernholdige metall";"1999";18711
"Ikke-jernholdige metall";"2000";18851
"Ikke-jernholdige metall";"2001";18934
"Ikke-jernholdige metall";"2002";18297
"Ikke-jernholdige metall";"2003";20225
"Ikke-jernholdige metall";"2004";21984
"Ikke-jernholdige metall";"2005";23301
"Ikke-jernholdige metall";"2006";23029
"Ikke-jernholdige metall";"2007";22237
"Ikke-jernholdige metall";"2008";23170
"Ikke-jernholdige metall";"2009";19084
"Ikke-jernholdige metall";"2010";18539
"Ikke-jernholdige metall";"2011";18825
"Ikke-jernholdige metall";"2012";19059
"Ikke-jernholdige metall";"2013";19288
"Ikke-jernholdige metall";"2014";19641
"Ikke-jernholdige metall";"2015";20419
"Ikke-jernholdige metall";"2016";20800
"Ikke-jernholdige metall";"2017";20795
"Ikke-jernholdige metall";"2018";21677
"Ikke-jernholdige metall";"2019";21918
"Ikke-jernholdige metall";"2020";21917
"Ikke-jernholdige metall";"2021";23246
"Ikke-jernholdige metall";"2022";22964
"Ikke-jernholdige metall";"2023";21453
"BERGVERKSDRIFT OG UTVINNING";"1993";..
"BERGVERKSDRIFT OG UTVINNING";"1994";..
"BERGVERKSDRIFT OG UTVINNING";"1995";..
"BERGVERKSDRIFT OG UTVINNING";"1996";..
"BERGVERKSDRIFT OG UTVINNING";"1997";..
"BERGVERKSDRIFT OG UTVINNING";"1998";..
"BERGVERKSDRIFT OG UTVINNING";"1999";..
"BERGVERKSDRIFT OG UTVINNING";"2000";..
"BERGVERKSDRIFT OG UTVINNING";"2001";..
"BERGVERKSDRIFT OG UTVINNING";"2002";..
"BERGVERKSDRIFT OG UTVINNING";"2003";..
"BERGVERKSDRIFT OG UTVINNING";"2004";..
"BERGVERKSDRIFT OG UTVINNING";"2005";..
"BERGVERKSDRIFT OG UTVINNING";"2006";..
"BERGVERKSDRIFT OG UTVINNING";"2007";..
"BERGVERKSDRIFT OG UTVINNING";"2008";2461
"BERGVERKSDRIFT OG UTVINNING";"2009";5129
"BERGVERKSDRIFT OG UTVINNING";"2010";6130
"BERGVERKSDRIFT OG UTVINNING";"2011";6138
"BERGVERKSDRIFT OG UTVINNING";"2012";6957
"BERGVERKSDRIFT OG UTVINNING";"2013";6940
"BERGVERKSDRIFT OG UTVINNING";"2014";7196
"BERGVERKSDRIFT OG UTVINNING";"2015";7606
"BERGVERKSDRIFT OG UTVINNING";"2016";7671
"BERGVERKSDRIFT OG UTVINNING";"2017";8282
"BERGVERKSDRIFT OG UTVINNING";"2018";9185
"BERGVERKSDRIFT OG UTVINNING";"2019";8814
"BERGVERKSDRIFT OG UTVINNING";"2020";9199
"BERGVERKSDRIFT OG UTVINNING";"2021";8567
"BERGVERKSDRIFT OG UTVINNING";"2022";9527
"BERGVERKSDRIFT OG UTVINNING";"2023";10779
"Bergverksdrift";"1993";..
"Bergverksdrift";"1994";..
"Bergverksdrift";"1995";..
"Bergverksdrift";"1996";..
"Bergverksdrift";"1997";..
"Bergverksdrift";"1998";..
"Bergverksdrift";"1999";..
"Bergverksdrift";"2000";..
"Bergverksdrift";"2001";..
"Bergverksdrift";"2002";..
"Bergverksdrift";"2003";..
"Bergverksdrift";"2004";..
"Bergverksdrift";"2005";..
"Bergverksdrift";"2006";..
"Bergverksdrift";"2007";..
"Bergverksdrift";"2008";336
"Bergverksdrift";"2009";349
"Bergverksdrift";"2010";468
"Bergverksdrift";"2011";491
"Bergverksdrift";"2012";505
"Bergverksdrift";"2013";540
"Bergverksdrift";"2014";568
"Bergverksdrift";"2015";517
"Bergverksdrift";"2016";392
"Bergverksdrift";"2017";372
"Bergverksdrift";"2018";354
"Bergverksdrift";"2019";412
"Bergverksdrift";"2020";446
"Bergverksdrift";"2021";456
"Bergverksdrift";"2022";439
"Bergverksdrift";"2023";429
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"1993";..
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"1994";..
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"1995";..
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"1996";..
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"1997";..
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"1998";..
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"1999";..
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"2000";..
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"2001";..
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"2002";..
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"2003";..
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"2004";..
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"2005";..
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"2006";..
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"2007";..
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"2008";2125
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"2009";4780
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"2010";5662
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"2011";5648
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"2012";6452
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"2013";6400
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"2014";6628
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"2015";7089
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"2016";7279
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"2017";7910
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"2018";8831
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"2019";8402
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"2020";8753
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"2021";8111
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"2022";9089
"Utvinning av råolje og naturgass samt tjenester tilknyttet denne virksomheten";"2023";10350
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"1993";10158
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"1994";9465
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"1995";10097
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"1996";10136
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"1997";9320
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"1998";9944
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"1999";9424
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"2000";9535
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"2001";9628
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"2002";9899
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"2003";9351
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"2004";11111
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"2005";10295
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"2006";10224
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"2007";11161
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"2008";11300
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"2009";13202
"BERGVERKSDRIFT, UTVINNING OG INDUSTRI UTANOM KRAFTINTENSIV INDUSTRI";"2010";14267
