Navn;Stasjon;Tid(norsk normaltid);Regional middeltemperatur, beregnet med normalperiode 1961-1990 (mnd);Regional middeltemperatur, beregnet med normalperiode 1991-2020 (mnd)
Region Norge;GR0;11.1910;-4,7;-5,29
Region Norge;GR0;12.1910;-4,7;-5,63
Region Norge;GR0;01.1911;-5,17;-6,35
Region Norge;GR0;02.1911;-5,42;-6,26
Region Norge;GR0;03.1911;-4,3;-5,02
Region Norge;GR0;04.1911;-1,04;-1,38
Region Norge;GR0;05.1911;5,43;5,78
Region Norge;GR0;06.1911;7,22;8,22
Region Norge;GR0;07.1911;10,14;11,13
Region Norge;GR0;08.1911;11,02;11,1
Region Norge;GR0;09.1911;6,77;6,72
Region Norge;GR0;10.1911;-0,63;-0,96
Region Norge;GR0;11.1911;-3,7;-4,3
Region Norge;GR0;12.1911;-2,45;-3,36
Region Norge;GR0;01.1912;-9,25;-10,44
Region Norge;GR0;02.1912;-8,56;-9,4
Region Norge;GR0;03.1912;-2,85;-3,57
Region Norge;GR0;04.1912;-1,85;-2,2
Region Norge;GR0;05.1912;3,2;3,55
Region Norge;GR0;06.1912;8,55;9,55
Region Norge;GR0;07.1912;11,54;12,54
Region Norge;GR0;08.1912;10,27;10,34
Region Norge;GR0;09.1912;4,91;4,85
Region Norge;GR0;10.1912;0,39;0,06
Region Norge;GR0;11.1912;-3,32;-3,91
Region Norge;GR0;12.1912;-4;-4,91
Region Norge;GR0;01.1913;-7,98;-9,18
Region Norge;GR0;02.1913;-4,61;-5,45
Region Norge;GR0;03.1913;-3,51;-4,24
Region Norge;GR0;04.1913;0,14;-0,22
Region Norge;GR0;05.1913;4,28;4,63
Region Norge;GR0;06.1913;7,4;8,41
Region Norge;GR0;07.1913;11,16;12,15
Region Norge;GR0;08.1913;10,13;10,2
Region Norge;GR0;09.1913;6,55;6,49
Region Norge;GR0;10.1913;1,17;0,84
Region Norge;GR0;11.1913;-0,28;-0,86
Region Norge;GR0;12.1913;-6,41;-7,34
Region Norge;GR0;01.1914;-7,07;-8,26
Region Norge;GR0;02.1914;-3,3;-4,14
Region Norge;GR0;03.1914;-4,92;-5,65
Region Norge;GR0;04.1914;0,55;0,21
Region Norge;GR0;05.1914;2,66;3,01
Region Norge;GR0;06.1914;8,28;9,29
Region Norge;GR0;07.1914;13,32;14,32
Region Norge;GR0;08.1914;10,81;10,89
Region Norge;GR0;09.1914;6,42;6,36
Region Norge;GR0;10.1914;1,46;1,12
Region Norge;GR0;11.1914;-3,1;-3,7
Region Norge;GR0;12.1914;-3,85;-4,77
Region Norge;GR0;01.1915;-8,05;-9,23
Region Norge;GR0;02.1915;-6,67;-7,52
Region Norge;GR0;03.1915;-7,23;-7,96
Region Norge;GR0;04.1915;-0,93;-1,28
Region Norge;GR0;05.1915;1,5;1,85
Region Norge;GR0;06.1915;5,7;6,7
Region Norge;GR0;07.1915;10,58;11,56
Region Norge;GR0;08.1915;10,08;10,15
Region Norge;GR0;09.1915;4,67;4,62
Region Norge;GR0;10.1915;-0,2;-0,54
Region Norge;GR0;11.1915;-5,61;-6,2
Region Norge;GR0;12.1915;-12,39;-13,33
Region Norge;GR0;01.1916;-5,02;-6,19
Region Norge;GR0;02.1916;-6,27;-7,13
Region Norge;GR0;03.1916;-7,02;-7,76
Region Norge;GR0;04.1916;-0,51;-0,86
Region Norge;GR0;05.1916;3,07;3,42
Region Norge;GR0;06.1916;7,33;8,32
Region Norge;GR0;07.1916;12;12,98
Region Norge;GR0;08.1916;9,55;9,62
Region Norge;GR0;09.1916;4,9;4,84
Region Norge;GR0;10.1916;-0,56;-0,89
Region Norge;GR0;11.1916;-0,77;-1,35
Region Norge;GR0;12.1916;-5,39;-6,3
Region Norge;GR0;01.1917;-11,53;-12,74
Region Norge;GR0;02.1917;-8,42;-9,28
Region Norge;GR0;03.1917;-8,13;-8,87
Region Norge;GR0;04.1917;-3,69;-4,05
Region Norge;GR0;05.1917;1,87;2,23
Region Norge;GR0;06.1917;8,88;9,89
Region Norge;GR0;07.1917;9,32;10,31
Region Norge;GR0;08.1917;12,42;12,5
Region Norge;GR0;09.1917;6,07;6,02
Region Norge;GR0;10.1917;1,17;0,85
Region Norge;GR0;11.1917;-3,04;-3,63
Region Norge;GR0;12.1917;-6,99;-7,92
Region Norge;GR0;01.1918;-10,01;-11,19
Region Norge;GR0;02.1918;-6,07;-6,92
Region Norge;GR0;03.1918;-3,74;-4,47
Region Norge;GR0;04.1918;0,3;-0,06
Region Norge;GR0;05.1918;4,3;4,66
Region Norge;GR0;06.1918;6,91;7,91
Region Norge;GR0;07.1918;11,35;12,33
Region Norge;GR0;08.1918;9,69;9,76
Region Norge;GR0;09.1918;4,85;4,79
Region Norge;GR0;10.1918;2,7;2,37
Region Norge;GR0;11.1918;-0,39;-0,97
Region Norge;GR0;12.1918;-6,03;-6,96
Region Norge;GR0;01.1919;-5,34;-6,51
Region Norge;GR0;02.1919;-9,35;-10,21
