id,title,authors,notes,last_open,highlights,pages,series,language,md5,total_read_time,total_read_pages
1,Harry Potter à l'Ecole des Sorciers,J. K. Rowling,0,1739028361,6,443,Harry Potter [FR] #1,fr,01ca3f028b4d1f6120d78c23dabccd5e,10262,38
2,Leviathan Wakes,James S. A. Corey,0,1736028911,0,771,The Expanse #1,en,de8144ccb4af7e8afb43be81ea44363f,2402,23
3,Because Internet: Understanding the New Rules of Language,Gretchen McCulloch,0,1737582762,0,518,N/A,en-US,0e9eceee40fb36a486d1e8bc83f2e16f,9911,92
