id,title,authors,notes,last_open,highlights,pages,series,language,md5,total_read_time,total_read_pages
1,Data Structures,en.wikibooks.org,0,1710452320,0,353,N/A,en-US,04c6355c9caec0c499e7fd3498d5cced,7053,96
2,3Blue1Brown Calculus,"Grant Sanderson & Kurt Bruns",0,1708897008,0,405,N/A,en-US,58d9ce61e2be6a4afdb66885d0e8be4b,42684,405
3,Learn You a Haskell for Great Good!,Miran Lipovača,0,1733392004,0,676,N/A,en-US,12cae255ae921fe559d3ae20486f45ad,20698,213
4,Crafting Interpreters,Robert Nystrom,0,1710367474,0,1507,N/A,en,f99764794058c0b86d8bac5e4b0cf929,8755,103
5,Learn You Some Erlang for Great Good! - Frederic Trottier-Hebert,N/A,0,1717278438,0,1564,N/A,N/A,8da76584c022d290f929d4bf089fa45b,2501,43
6,The Hitchhiker's Guide to the Galaxy,Douglas Adams,126,1734472571,28,411,N/A,en-US,f3ada9089841b55a5749663ba5119179,23333,272
