No.;Time;Comment;Scramble;Date;P.1
168;33.74;;R L B' D L2 F' B L U F B2 R2 F R2 B' L2 U2 F2 R2 L2 F;2021-12-10 11:10:47;33.74
169;29.29;;L' F' B2 L2 U2 F2 R2 U' F2 R2 D2 U' F2 D L' U' R U' R2 U2 F';2021-12-10 11:13:54;29.29
170;17.95;;R' B R2 U R U B2 D F B2 U F2 B2 U' F2 U2 L2 D;2021-12-13 11:12:21;17.95
171;15.21;;B' D' B R2 F D2 F R' F L2 U2 F' L2 B2 R2 F' R2 F U2 B2;2021-12-13 16:49:21;15.21
172;21.64;;B2 D2 R U2 R' D2 R' U2 B2 U2 R U2 F U B2 D' B' F' R2 D' B';2021-12-13 16:50:16;21.64
173;15.05;;D2 F D2 B' L2 B2 D2 L2 D2 U2 F R2 U' B2 F U' L2 U2 B';2021-12-13 16:51:05;15.05
174;27.05;;U' D' R U B' U2 L D' B' F2 L2 U2 R B2 R2 B2 D2 B2 D2 R;2021-12-13 16:51:54;27.05
175;18.16;;R' U2 F2 D2 B2 U2 L F2 R' B2 L' R2 U' F2 R' D2 B D2 B' U';2021-12-13 16:53:03;18.16
176;22.12;;R' L2 B' R2 B' U2 F2 L2 U2 F L2 R2 F' R F D B D R F2 L2;2021-12-13 16:57:54;22.12
177;33.66;;L2 F D2 B F R2 F L2 F' U2 F' R' B2 F R' D U F D2 U2 L2;2021-12-15 11:31:32;33.66
178;25.17;;D F2 L2 F2 L B2 D2 R U2 R D2 B2 R B' U B D' L2 F' R2 F2;2021-12-17 19:00:45;25.17
179;19.78;;F U' L' U B2 L2 D' R2 F2 U' B2 L2 D2 R' D R2 F U' L B';2021-12-17 19:01:44;19.78
180;35.66;;B R F2 U2 L F' U' B2 U2 R2 D2 R2 L' B2 R F2 D2 B2 U' B;2021-12-17 19:03:11;35.66
181;30.97;;D2 R F L' D F' B2 D F2 D2 F' D2 B D2 F' U2 F' D2 F2 L';2021-12-17 19:04:50;30.97
182;23.15;;F' L2 F2 R' F2 D2 F2 L' U2 L' U2 R F' D' R D L2 U L2 R';2021-12-29 14:02:45;23.15
183;14.89;;U' F' B2 D2 R2 D R2 U B2 U2 F2 D B2 R2 F' L B2 F D F';2021-12-29 14:03:44;14.89
184;24.44;;U2 L2 D2 U B2 D' F2 R2 B2 U' F2 D' F D' L R D2 U B R U2;2022-01-04 09:33:39;24.44
185;36.11;;B' D' L B R L2 F' D' B2 L2 F2 B2 D2 B2 R' U2 L' B2 D2 F;2022-01-04 09:34:31;36.11
186;25.68;;R' B2 R' D L B2 D' U2 L2 F R2 U2 D2 B R2 U2 B U2 B R B2;2022-01-04 09:35:56;25.68
187;10.97;;U2 B2 L2 F D2 F' D2 B' R2 U2 D' F R' D2 L2 U' L2 U;2022-01-20 09:30:31;10.97
188;24.42;;B2 D U F2 D B2 D L2 F2 U' F' L R2 U' L F L' R U2 F;2022-01-20 09:32:53;24.42
189;28.48;;R F2 L F2 L2 D' B2 F2 L2 U' B2 U2 L2 F2 R' U' F2 D F D B';2022-01-20 09:33:40;28.48
190;21.66;;U L2 B' R' D B2 U' F2 R B' L2 D2 B L2 F2 D2 B' U2 R2 L2 F';2022-01-31 09:33:32;21.66
191;21.66+;;L2 U2 L2 D R2 F2 D B2 D' F2 D' R' B' F2 R' F R' D' L' B' U;2022-02-04 13:35:45;19.66
192;28.87;;U2 R' B2 U' R2 F2 U L2 B2 U R2 F' R' B' D' L' F' D2;2022-02-04 20:56:52;28.87
