No.;Time;Comment;Scramble;Date;P.1
40;23.47;;D2 L D2 B U D F' U' F B2 U2 F R2 F R2 F' U2 R2 B' U';2021-10-15 14:46:52;23.47
41;26.38;;U2 L2 D' L2 B2 D U B2 U' F2 L2 U F L2 D' U2 B U F' L' U2;2021-10-15 14:48:40;26.38
42;30.90;;U' L2 U2 B D2 U2 F' L2 D2 F2 D2 U B' U' L' D' R D' L2;2021-10-15 14:49:52;30.90
43;33.80;;F2 D2 F' U2 B2 U L2 F2 D' L2 U2 B2 D R2 F' R' F R D B R2;2021-10-15 19:30:35;33.80
44;26.57;;L' D2 R' F2 U2 R2 D2 R D2 U2 F2 U F' D2 F2 U' F' D' R F;2021-10-15 19:46:26;26.57
45;23.03;;U2 F' D B2 F2 D L2 U2 F2 U' R2 B2 U2 R' B L' F2 D' B' L' B';2021-10-15 19:47:45;23.03
46;24.72;;D2 B2 R2 D B2 D' L2 U2 B2 U F2 L2 F' R2 B' L F U' L2 F2 D';2021-10-15 19:49:29;24.72
47;34.72;;F D2 R2 U' B2 U' F2 U' F2 D2 L2 B F L D2 R' B L' U' F;2021-10-19 11:06:04;34.72
48;28.06;;L2 U' R' B L U L D' F' D2 F2 U2 D2 R2 D2 B2 R U2 R' B2;2021-10-19 11:07:14;28.06
49;33.54;;F U L F R2 D' R2 B' D' U2 R' D2 R U2 R2 F2 U2 B2 R' U2 B2;2021-10-19 11:08:44;33.54
50;43.75;;B' U' L2 D2 R2 B L2 R2 U2 B L2 F' U2 B L' F' D' U2 F' R' B2;2021-10-19 11:09:52;43.75
51;36.13;;U R2 U2 B L2 B' F' D2 B' U2 L2 D2 U R' D L' B2 L' F' R';2021-10-19 11:11:08;36.13
52;40.14;;U2 D2 L2 F B U F U2 R2 D2 R2 F2 D R2 L2 F2 D L2 U' L' F';2021-10-19 11:12:22;40.14
53;27.36;;U2 R2 U' L2 D' L2 B2 L2 B2 U' B2 R2 B U' F L' B' D2 B L' U2;2021-10-22 10:55:44;27.36
54;35.97;;U2 R2 F' R2 F2 U2 B D2 L2 F2 R' D' L B U R2 F' D2 L F';2021-10-25 10:43:17;35.97
55;41.59;;R' B' L' D2 B2 F2 U L2 U R2 U' L2 B2 L' D R' U F' D2 U';2021-11-04 12:33:48;41.59
56;36.80;;D' B' U' B2 L2 B2 U' R2 B2 D2 B2 D U B' L B2 L D L' U';2021-11-10 07:58:27;36.80
57;37.76;;R2 U L R B2 D2 R D2 B2 U2 R' B2 L2 D' U2 F' L F2 L2 F';2021-11-10 07:59:41;37.76
58;28.36;;D R D B2 L B2 U' B' U2 R' F2 U2 R' U2 B2 L2 B2 D2 L' F;2021-11-10 08:01:07;28.36
59;40.30;;D R2 D' F2 D2 R2 F2 L2 D' R2 U' B2 F' L R2 U R' B D' F' D2;2021-11-10 08:02:08;40.30
60;31.83;;B2 U' F2 D R2 U B2 U' L2 U F2 U L B U R' D' B2 L2 R';2021-11-13 13:37:18;31.83
61;26.53;;L2 U' R2 B' R' B D F' L' F2 U L2 U' R2 F2 L2 D B2 U' F2 U';2021-11-13 13:39:47;26.53
62;23.87;;D2 R2 U R2 B2 D2 F2 D' R2 U B2 U' R B L' U L D L' D2 F';2021-11-13 13:43:16;23.87
63;23.55;;L B' U' R2 D' B2 D2 F2 D R2 F2 D L2 U2 B R' F2 L' R2 B' F2;2021-11-13 13:44:03;23.55
64;28.01;;U2 R' D2 L' U2 B2 U2 L' U2 R2 D F' D2 L2 F2 U F L' R2;2021-11-13 13:45:15;28.01
65;39.15;;L F' D L2 U2 B2 F2 U F2 D L2 D' L' F' D' U' L' B R2 B';2021-11-13 13:46:55;39.15
66;27.90;;D2 B D R' F' U' B' D R' U2 L' F2 R2 D2 B2 D2 L' B2 R' D2 F;2021-11-13 13:48:09;27.90
67;30.37;;L U2 R U2 L F2 R' B2 U2 R F D B U2 L U R D L2 B;2021-11-13 13:49:03;30.37
68;36.60;;U2 B2 R2 D L2 B2 D' L2 D' U2 B2 R' D' B D2 B' L D B' F2;2021-11-13 13:50:06;36.60
69;28.65;;L F2 U2 B2 U F2 L' B' U' F2 R2 L2 U B2 D' L2 D L2 B2 D2 R';2021-11-13 13:51:17;28.65
70;40.69;;R D R2 U F' D F L B2 R2 B2 D2 L' U2 L F2 L2 F;2021-11-13 13:55:05;40.69
71;26.78;;B D' L2 U' F2 R2 F2 D' L2 B2 U' F2 R D2 R2 B' R2 B' D B';2021-11-13 13:56:39;26.78
72;23.23;;F2 U F2 U' B2 F2 D L2 D' F2 D' B' L' D U L' D' R2 F' D2;2021-11-13 13:57:46;23.23
73;36.15;;D' L F2 D B2 D' F2 U2 B2 U' R2 D2 R2 L' B' F2 D B2 F' L';2021-11-13 13:58:43;36.15
74;25.15;;F2 D2 B' U2 F L2 D2 L2 U2 B2 L2 F' U' L U L' F R B L R;2021-11-13 13:59:56;25.15
75;31.57;;F2 U L2 U' L2 R2 U2 R2 B2 U2 B2 R2 B' R' F L2 B' F2 L D2 L;2021-11-13 14:01:09;31.57
76;25.55;;L' B F U2 L2 R2 F' D2 L2 B' F' U' L R2 U R2 D2 U';2021-11-13 14:02:26;25.55
77;29.92;;F' U D2 L U L2 F R2 B2 D2 L D2 R2 F2 D2 L' U2 R2 B2;2021-11-13 14:03:28;29.92
78;29.41;;F2 L2 F' L' D2 F2 D F' L F2 D2 R2 F' D2 B' L2 D2 B' R2 F;2021-11-13 14:04:49;29.41
79;19.45;;U' D F2 B2 R2 U L F D' F2 B2 R2 D' L2 U B2 R2 D2 F';2021-11-13 14:05:55;19.45
80;35.22;;D2 R2 U' L2 B2 R2 U L2 B2 F2 L' B L' B2 L U R D F' U';2021-11-24 16:45:08;35.22
81;26.29;;F B2 R' F D L' U2 F D2 R' B2 R' F2 B2 R' B2 L2 F2 L' U';2021-11-24 16:46:25;26.29
82;31.47;;R' D2 L R B2 F2 R' F2 R B2 U2 B2 F' U' L' F' U' B L' R D;2021-11-24 16:47:27;31.47
83;35.96;;B2 R2 D' F2 L2 D L2 R2 D U L2 F' L' B R B R F D2 R' U;2021-11-24 16:48:57;35.96
84;28.99;;L2 F2 U2 B' L2 B L2 D2 L2 F2 R2 F' D' L2 U' L R F L2 R B';2021-11-24 16:57:26;28.99
85;31.21;;U2 B2 D L2 U2 F2 U' R2 U L2 U2 L' F D' B2 U2 B L' D' B2 F;2021-11-24 16:58:26;31.21
86;DNF(34.92);;B R2 B2 D' B2 L2 D L2 D' B2 U' L2 U F' L' U F2 U R' B R2;2021-11-24 16:59:40;34.92
87;31.23;;U2 F L F R2 D2 L2 U2 F U2 L2 R' F' D' L D U' R';2021-11-24 17:01:29;31.23
88;37.81;;L' U R2 B2 U' R2 U B2 U R2 D B R' F L2 F U2 F2 R D';2021-11-24 17:02:45;37.81
89;27.62;;F2 L2 D2 B' D2 B L2 U2 B2 D2 B D F' D F' R2 B' L' B2 F;2021-11-24 17:04:11;27.62
90;19.22;;U' F' L D B D2 R B2 L2 D R2 F2 L2 D R2 U2 F2 B L2;2021-11-24 17:05:08;19.22
91;30.68;;U2 F' D' R2 D' L2 U2 B2 U R2 U' F2 R2 B2 F' U' R' U F D U;2021-11-24 17:06:32;30.68
92;28.82;;U2 R2 U F2 L U D' F' U R2 U' B2 L2 D2 F2 D' L2 U D;2021-11-24 17:08:07;28.82
93;26.80;;U L2 D2 R' D2 R' F2 U2 L2 U2 R U2 B2 F R' D L2 D' L B F';2021-11-24 17:09:11;26.80
94;26.69;;R D R2 D2 L2 D2 F' L2 F L2 B U2 B2 U2 R U' L' D2 L B R';2021-11-24 17:10:32;26.69
95;32.82;;D F2 D R2 B2 U2 R2 D B2 L2 B2 U' F' R' D' U' L' B R2 U2 R';2021-11-24 17:11:29;32.82
96;36.09;;B' R' B' L2 U2 L2 F' U2 B' U2 B2 L2 F2 L2 D' F R' U' L D' R;2021-11-24 17:12:37;36.09
97;37.49;;L' B D B2 R2 D L2 F2 U' L2 D' F2 D2 R2 F' L B R2 D2 B F';2021-11-24 17:13:38;37.49
98;33.36;;B' R' D' L' U2 R' L2 B F2 L' F2 D2 L' D2 R2 U2 B2 U2 D2;2021-11-25 08:45:18;33.36
99;35.55;;D R' L U R2 F' R' U D' B2 L2 U B2 R2 F2 L2 U' R';2021-11-25 08:46:37;35.55
100;38.46;;F2 D2 U2 L2 R U2 R' B2 U2 F2 R U F2 U2 R2 B U B' U' L';2021-11-28 19:55:10;38.46
101;32.34;;F' U B R D R' F U2 L' B R2 L2 D2 R2 B U2 F U2 L2;2021-11-28 19:56:23;32.34
102;31.21+;;R' L2 B U' R' L F' L2 D' B2 R U2 L' D2 L2 U2 R B2 D2 L;2021-11-30 09:38:58;29.21
103;42.09;;R L2 B2 L2 F2 D L2 U F2 U B2 F2 U L' F' L' R D2 B' U R';2021-12-01 11:12:00;42.09
104;32.59;;U' R2 F2 D2 B2 D' L2 B2 U2 L2 F2 D L B2 R2 B D L U2 L' F;2021-12-01 11:13:21;32.59
105;42.84;;D F2 D' F2 R2 D2 B2 R2 D2 U' F2 B' D2 U L R' U2 F' U2 L2 D2;2021-12-01 11:15:33;42.84
106;31.17;;L2 U2 L2 F2 U' B2 U R2 U' L2 R2 U F D' L' D R' B D2 L D2;2021-12-01 11:23:40;31.17
107;31.93;;L' F2 U R2 D F2 U' F2 R2 F2 D2 F2 B' R F R2 U' R' F2 L F';2021-12-01 11:25:44;31.93
108;22.91;;F2 D2 B R2 B' L2 B D2 B' R2 F2 L' F D' L2 U' R F D' L2;2021-12-01 17:46:10;22.91
109;19.07;;R U2 R B2 R' D2 F2 R B2 D2 U' F2 U R2 B D U F2 R2;2021-12-01 17:49:52;19.07
110;DNF(39.94);Åpne døren;U2 R' F2 L' R2 B2 D2 R2 U2 R2 F' L2 D' R F L' B' R D U;2021-12-01 17:51:20;39.94
111;25.31;;B' R B U' F R B2 R2 D R2 U2 F' U2 D2 L2 F2 D2 L2 B2 U2;2021-12-01 17:54:20;25.31
112;27.67;;L' B2 L' B' U2 L' D R' U B L2 F D2 L2 F' U2 B2 L2 U2;2021-12-01 17:55:19;27.67
113;28.57;;B2 F2 L2 D' F2 D L2 R2 U' L2 U' B' L' D' U' B' R F' D L2;2021-12-01 17:56:39;28.57
114;29.45;;U L2 U2 F2 R2 U' F2 D' L2 U L F U B U R' F D2 U2;2021-12-02 07:18:39;29.45
115;24.29;;D2 F2 U' R2 F2 D R2 U2 F2 U' L2 B2 L U2 B' D U L' B R B;2021-12-02 07:22:53;24.29
116;36.71;;F' D2 F U' R' F' D R' L' B' D' B2 U R2 U R2 L2 D B2 U' L2;2021-12-02 07:24:00;36.71
117;34.12;;D' R2 F' L2 D2 R2 F R2 F D2 B2 U2 L' D F D U F2 R U';2021-12-02 07:45:16;34.12
118;18.15;;R' D2 F D2 F' U2 B' L2 B' D2 B D2 F2 U' L' B L2 D2 L2 R2 D;2021-12-02 07:46:35;18.15
119;17.02;;F2 B U R' D2 L' D L' U2 F2 R U2 R' B2 L2 B2 L F2 U2 B L;2021-12-02 07:47:18;17.02
120;26.13;;R2 F' R F R B2 R' D L F2 L2 D2 B2 R2 U2 F' D2 F L2;2021-12-02 07:48:05;26.13
121;18.22;;F2 U F D L F' R F D B2 D2 B' L2 U2 F' R2 B2 U2 F2 B L2;2021-12-02 07:49:04;18.22
