_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
665ef43eca2df501929892ac,,111.73,97.96,111.73,60.4,48;0;0;0,words,10,-1,0,5.16,0,0,false,false,english,none,normal,false,false,false,,1717498942000
665ef438ca2df5019298927d,,122.47,100,122.47,88.01,48;0;0;0,words,10,-1,0,4.7,0,0,false,false,english,none,normal,false,false,false,,1717498935000
665ef432ca2df5019298922c,,109.66,100,109.66,62.51,48;0;0;0,words,10,-1,0,5.25,0,0,false,false,english,none,normal,false,false,false,,1717498930000
665ef420ca2df50192989191,,94.01,98,94.01,62.28,49;0;0;0,words,10,-1,1,6.25,0,4.97,false,false,english,none,normal,false,false,false,,1717498912000
665ef413ca2df5019298911b,,104.96,100,104.96,84.13,49;0;0;0,words,10,-1,0,5.6,0,0,false,false,english,none,normal,false,false,false,,1717498899000
665ef40cca2df501929890d4,,83.94,100,83.94,56.74,48;0;0;0,words,10,-1,0,6.86,0,0,false,false,english,none,normal,false,false,false,,1717498892000
665ef404ca2df50192989088,,115.31,100,115.31,94.43,45;0;0;0,words,10,-1,0,4.68,0,0,false,false,english,none,normal,false,false,false,,1717498884000
665ef3feca2df5019298905d,,117.91,100,117.91,79.2,49;0;0;0,words,10,-1,0,4.99,0,0,false,false,english,none,normal,false,false,false,,1717498878000
665ef3f7ca2df50192989015,,81.45,96.36,81.45,66.15,52;0;0;0,words,10,-1,0,7.66,0,0,false,false,english,none,normal,false,false,false,,1717498871000
665ef3eeca2df50192988fbb,,115.98,100,115.98,91.8,45;0;0;0,words,10,-1,1,4.66,0,4.97,false,false,english,none,normal,false,false,false,,1717498862000
665ef198ca2df501929878ec,,88.31,92.73,88.31,52.02,51;0;0;0,words,10,-1,0,6.93,0,0,false,false,english,none,normal,false,false,false,,1717498264000
665ef191ca2df5019298789f,,120.35,100,120.35,82.85,55;0;0;0,words,10,-1,0,5.48,0,0,false,false,english,none,normal,false,false,false,,1717498257000
665ef07bca2df50192986e09,,132.59,98.15,132.59,87.61,53;0;0;0,words,10,-1,0,4.8,0,0,false,false,english,none,normal,false,false,false,,1717497979000
665ef075ca2df50192986dce,,118.11,96.49,118.11,54.27,54;0;0;0,words,10,-1,0,5.49,0,0,false,false,english,none,normal,false,false,false,,1717497972000
665ecbb8ca2df501929713f1,,135.46,100,135.46,91.34,53;0;0;0,words,10,-1,0,4.7,0,0,false,false,english,none,normal,false,false,false,,1717488568000
665ec661ca2df5019296e40f,,118.68,100,118.68,58.65,50;0;0;0,words,10,-1,0,5.06,0,0,false,false,english,none,normal,false,false,false,,1717487201000
665ec65cca2df5019296e3d1,,101.42,97.96,101.42,79.97,48;0;0;0,words,10,-1,0,5.68,0,0,false,false,english,none,normal,false,false,false,,1717487196000
665ec654ca2df5019296e390,,90.02,90,107.59,64.23,41;2;1;1,words,10,-1,0,5.47,0,0,false,false,english,none,normal,false,false,false,,1717487188000
665ec64dca2df5019296e34d,,114.35,100,114.35,67.02,50;0;0;0,words,10,-1,0,5.25,0,0,false,false,english,none,normal,false,false,false,,1717487181000
665ec63dca2df5019296e2bf,,123.31,100,123.31,91.54,50;0;0;0,words,10,-1,0,4.87,0,0,false,false,english,none,normal,false,false,false,,1717487165000
665ec637ca2df5019296e289,,87.92,88,96.5,78.11,41;1;0;0,words,10,-1,0,5.6,0,0,false,false,english,none,normal,false,false,false,,1717487159000
665ec630ca2df5019296e242,,120.53,100,120.53,59.76,42;0;0;0,words,10,-1,3,4.18,0,2.42,false,false,english,none,normal,false,false,false,,1717487152000
