"kjønn";"alder";"år";"Personer"
"Kvinner";4;2011;29848
"Kvinner";4;2012;29868
"Kvinner";4;2013;30739
"Kvinner";4;2014;31605
"Kvinner";4;2015;31420
"Kvinner";4;2016;30582
"Kvinner";4;2017;30566
"Kvinner";4;2018;29979
"Kvinner";4;2019;29663
"Kvinner";4;2020;29547
"Kvinner";4;2021;29248
"Kvinner";4;2022;28134
"Kvinner";4;2023;27692
"Kvinner";4;2024;27707
"Kvinner";4;2025;27331
"Kvinner";5;1986;24976
"Kvinner";5;1987;25237
"Kvinner";5;1988;25111
"Kvinner";5;1989;24553
"Kvinner";5;1990;24912
"Kvinner";5;1991;25233
"Kvinner";5;1992;25838
"Kvinner";5;1993;26841
"Kvinner";5;1994;28377
"Kvinner";5;1995;29223
"Kvinner";5;1996;30159
"Kvinner";5;1997;30110
"Kvinner";5;1998;29574
"Kvinner";5;1999;29644
"Kvinner";5;2000;29726
"Kvinner";5;2001;29874
"Kvinner";5;2002;30194
"Kvinner";5;2003;29760
"Kvinner";5;2004;29157
"Kvinner";5;2005;29483
"Kvinner";5;2006;29479
"Kvinner";5;2007;28536
"Kvinner";5;2008;28212
"Kvinner";5;2009;28880
"Kvinner";5;2010;29151
"Kvinner";5;2011;29231
"Kvinner";5;2012;30073
"Kvinner";5;2013;30128
"Kvinner";5;2014;30973
"Kvinner";5;2015;31802
"Kvinner";5;2016;31567
"Kvinner";5;2017;30743
"Kvinner";5;2018;30677
"Kvinner";5;2019;30034
"Kvinner";5;2020;29721
"Kvinner";5;2021;29530
"Kvinner";5;2022;29316
"Kvinner";5;2023;28546
"Kvinner";5;2024;28021
"Kvinner";5;2025;27919
"Kvinner";6;1986;25321
"Kvinner";6;1987;25009
"Kvinner";6;1988;25336
"Kvinner";6;1989;25166
"Kvinner";6;1990;24573
"Kvinner";6;1991;24948
"Kvinner";6;1992;25271
"Kvinner";6;1993;25938
"Kvinner";6;1994;27011
"Kvinner";6;1995;28418
"Kvinner";6;1996;29268
"Kvinner";6;1997;30194
