"produksjon og forbruk";"måned";"Elektrisk kraft"
"3 Eksport";"2002M07";2275250
"3 Eksport";"2002M08";2292475
"3 Eksport";"2002M09";1481047
"3 Eksport";"2002M10";1207245
"3 Eksport";"2002M11";645496
"3 Eksport";"2002M12";586903
"3 Eksport";"2003M01";500419
"3 Eksport";"2003M02";487717
"3 Eksport";"2003M03";204100
"3 Eksport";"2003M04";133353
"3 Eksport";"2003M05";107704
"3 Eksport";"2003M06";680648
"3 Eksport";"2003M07";562199
"3 Eksport";"2003M08";789699
"3 Eksport";"2003M09";666343
"3 Eksport";"2003M10";855003
"3 Eksport";"2003M11";347324
"3 Eksport";"2003M12";252613
"3 Eksport";"2004M01";483768
"3 Eksport";"2004M02";248482
"3 Eksport";"2004M03";249224
"3 Eksport";"2004M04";106067
"3 Eksport";"2004M05";223731
"3 Eksport";"2004M06";476695
"3 Eksport";"2004M07";405245
"3 Eksport";"2004M08";525964
"3 Eksport";"2004M09";333901
"3 Eksport";"2004M10";242601
"3 Eksport";"2004M11";235826
"3 Eksport";"2004M12";310426
"3 Eksport";"2005M01";1109664
"3 Eksport";"2005M02";1684332
"3 Eksport";"2005M03";1444974
"3 Eksport";"2005M04";1035334
"3 Eksport";"2005M05";986482
"3 Eksport";"2005M06";1133522
"3 Eksport";"2005M07";1227796
"3 Eksport";"2005M08";1244248
"3 Eksport";"2005M09";948252
"3 Eksport";"2005M10";1329521
"3 Eksport";"2005M11";1897584
"3 Eksport";"2005M12";1653521
"3 Eksport";"2006M01";1544408
"3 Eksport";"2006M02";1313713
"3 Eksport";"2006M03";920739
"3 Eksport";"2006M04";299350
"3 Eksport";"2006M05";240498
"3 Eksport";"2006M06";948685
"3 Eksport";"2006M07";960961
"3 Eksport";"2006M08";1035381
"3 Eksport";"2006M09";548395
"3 Eksport";"2006M10";278568
"3 Eksport";"2006M11";390139
"3 Eksport";"2006M12";466174
"3 Eksport";"2007M01";708894
"3 Eksport";"2007M02";1079204
"3 Eksport";"2007M03";572873
"3 Eksport";"2007M04";804195
"3 Eksport";"2007M05";1180928
"3 Eksport";"2007M06";1446583
"3 Eksport";"2007M07";2011743
"3 Eksport";"2007M08";2607837
"3 Eksport";"2007M09";2317038
"3 Eksport";"2007M10";1254800
"3 Eksport";"2007M11";712359
"3 Eksport";"2007M12";623877
"3 Eksport";"2008M01";966129
"3 Eksport";"2008M02";1207340
"3 Eksport";"2008M03";1381686
"3 Eksport";"2008M04";923090
"3 Eksport";"2008M05";1315249
"3 Eksport";"2008M06";1867854
"3 Eksport";"2008M07";2060024
"3 Eksport";"2008M08";1769206
"3 Eksport";"2008M09";1395127
"3 Eksport";"2008M10";1470831
"3 Eksport";"2008M11";1372750
"3 Eksport";"2008M12";1561578
"3 Eksport";"2009M01";1176374
"3 Eksport";"2009M02";587743
"3 Eksport";"2009M03";923853
"3 Eksport";"2009M04";761021
"3 Eksport";"2009M05";879234
"3 Eksport";"2009M06";873043
"3 Eksport";"2009M07";1043326
"3 Eksport";"2009M08";1746124
"3 Eksport";"2009M09";1895533
"3 Eksport";"2009M10";1876569
"3 Eksport";"2009M11";1573199
"3 Eksport";"2009M12";1296614
"3 Eksport";"2010M01";802312
"3 Eksport";"2010M02";411703
"3 Eksport";"2010M03";150579
"3 Eksport";"2010M04";118342
"3 Eksport";"2010M05";284937
"3 Eksport";"2010M06";340882
"3 Eksport";"2010M07";980985
"3 Eksport";"2010M08";626960
"3 Eksport";"2010M09";867248
"3 Eksport";"2010M10";1368841
"3 Eksport";"2010M11";631703
"3 Eksport";"2010M12";538982
"3 Eksport";"2011M01";79020
"3 Eksport";"2011M02";100740
"3 Eksport";"2011M03";74456
"3 Eksport";"2011M04";354790
"3 Eksport";"2011M05";431809
"3 Eksport";"2011M06";1304640
"3 Eksport";"2011M07";2456237
"3 Eksport";"2011M08";2288152
"3 Eksport";"2011M09";1820754
"3 Eksport";"2011M10";1930749
"3 Eksport";"2011M11";2174711
"3 Eksport";"2011M12";1312765
"3 Eksport";"2012M01";2228872
"3 Eksport";"2012M02";1967605
"3 Eksport";"2012M03";1569962
"3 Eksport";"2012M04";1841345
"3 Eksport";"2012M05";2003692
"3 Eksport";"2012M06";1979229
"3 Eksport";"2012M07";1940433
"3 Eksport";"2012M08";2553743
"3 Eksport";"2012M09";1683092
"3 Eksport";"2012M10";1573263
"3 Eksport";"2012M11";1381862
"3 Eksport";"2012M12";1283270
"3 Eksport";"2013M01";1266172
"3 Eksport";"2013M02";993734
"3 Eksport";"2013M03";854216
"3 Eksport";"2013M04";564294
"3 Eksport";"2013M05";1370272
"3 Eksport";"2013M06";1677852
"3 Eksport";"2013M07";1880314
"3 Eksport";"2013M08";1903792
"3 Eksport";"2013M09";1298343
"3 Eksport";"2013M10";925346
"3 Eksport";"2013M11";1097133
"3 Eksport";"2013M12";1309018
"3 Eksport";"2014M01";1460308
"3 Eksport";"2014M02";1210586
"3 Eksport";"2014M03";1372142
"3 Eksport";"2014M04";1880897
"3 Eksport";"2014M05";1851774
"3 Eksport";"2014M06";2247804
"3 Eksport";"2014M07";2496423
"3 Eksport";"2014M08";1754553
"3 Eksport";"2014M09";2041024
"3 Eksport";"2014M10";1793550
"3 Eksport";"2014M11";2004540
"3 Eksport";"2014M12";1818874
"3 Eksport";"2015M01";2089142
"3 Eksport";"2015M02";1556516
"3 Eksport";"2015M03";1796286
"3 Eksport";"2015M04";1484198
"3 Eksport";"2015M05";1736471
"3 Eksport";"2015M06";2123620
"3 Eksport";"2015M07";1588188
"3 Eksport";"2015M08";2090074
"3 Eksport";"2015M09";2319491
"3 Eksport";"2015M10";1745315
"3 Eksport";"2015M11";1865245
"3 Eksport";"2015M12";1643474
"3 Eksport";"2016M01";1920822
"3 Eksport";"2016M02";1695404
"3 Eksport";"2016M03";2155722
"3 Eksport";"2016M04";1381585
"3 Eksport";"2016M05";2107756
"3 Eksport";"2016M06";2532646
"3 Eksport";"2016M07";2045756
"3 Eksport";"2016M08";1742279
"3 Eksport";"2016M09";2049311
"3 Eksport";"2016M10";1550403
"3 Eksport";"2016M11";1229875
"3 Eksport";"2016M12";1739041
"3 Eksport";"2017M01";1837314
"3 Eksport";"2017M02";1289626
"3 Eksport";"2017M03";1120696
"3 Eksport";"2017M04";1272057
"3 Eksport";"2017M05";1768049
"3 Eksport";"2017M06";2121107
"3 Eksport";"2017M07";2108945
"3 Eksport";"2017M08";2187163
"3 Eksport";"2017M09";2217933
"3 Eksport";"2017M10";1908372
"3 Eksport";"2017M11";1749165
"3 Eksport";"2017M12";1695791
"3 Eksport";"2018M01";1868103
"3 Eksport";"2018M02";1730675
"3 Eksport";"2018M03";906710
"3 Eksport";"2018M04";565363
"3 Eksport";"2018M05";1272473
"3 Eksport";"2018M06";1500335
"3 Eksport";"2018M07";1597911
"3 Eksport";"2018M08";1901375
"3 Eksport";"2018M09";1910371
"3 Eksport";"2018M10";1994962
"3 Eksport";"2018M11";1940219
"3 Eksport";"2018M12";1300414
"3 Eksport";"2019M01";1337103
"3 Eksport";"2019M02";529245
"3 Eksport";"2019M03";379040
"3 Eksport";"2019M04";622422
"3 Eksport";"2019M05";738939
"3 Eksport";"2019M06";1209982
"3 Eksport";"2019M07";1577477
"3 Eksport";"2019M08";1708172
"3 Eksport";"2019M09";1769919
"3 Eksport";"2019M10";825579
"3 Eksport";"2019M11";974923
"3 Eksport";"2019M12";636412
"3 Eksport";"2020M01";946538
"3 Eksport";"2020M02";1088897
"3 Eksport";"2020M03";1735431
"3 Eksport";"2020M04";1974639
"3 Eksport";"2020M05";2111300
"3 Eksport";"2020M06";1712888
"3 Eksport";"2020M07";2340682
"3 Eksport";"2020M08";2595321
"3 Eksport";"2020M09";2557766
"3 Eksport";"2020M10";2883948
"3 Eksport";"2020M11";1957516
"3 Eksport";"2020M12";3063362
"3 Eksport";"2021M01";2268997
"3 Eksport";"2021M02";1188622
"3 Eksport";"2021M03";1606207
"3 Eksport";"2021M04";1841313
"3 Eksport";"2021M05";2224830
"3 Eksport";"2021M06";2672725
"3 Eksport";"2021M07";2587240
"3 Eksport";"2021M08";1771055
"3 Eksport";"2021M09";2163714
"3 Eksport";"2021M10";2238711
"3 Eksport";"2021M11";2681304
"3 Eksport";"2021M12";2574178
"3 Eksport";"2022M01";2381784
"3 Eksport";"2022M02";1911648
"3 Eksport";"2022M03";3006611
"3 Eksport";"2022M04";1691145
"3 Eksport";"2022M05";1653845
"3 Eksport";"2022M06";2671716
"3 Eksport";"2022M07";2303360
"3 Eksport";"2022M08";2110405
"3 Eksport";"2022M09";973819
"3 Eksport";"2022M10";1569369
"3 Eksport";"2022M11";3193528
"3 Eksport";"2022M12";2324350
"3 Eksport";"2023M01";2131038
"3 Eksport";"2023M02";2687484
"3 Eksport";"2023M03";2289152
"3 Eksport";"2023M04";2403331
"3 Eksport";"2023M05";2332865
"3 Eksport";"2023M06";2870527
"3 Eksport";"2023M07";3207439
"3 Eksport";"2023M08";3542870
"3 Eksport";"2023M09";3248891
"3 Eksport";"2023M10";2516296
"3 Eksport";"2023M11";2250925
"3 Eksport";"2023M12";1497177
"3 Eksport";"2024M01";1927421
"3 Eksport";"2024M02";2289051
"3 Eksport";"2024M03";2907770
"3 Eksport";"2024M04";2191667
"3 Eksport";"2024M05";3066601
"3 Eksport";"2024M06";2885401
"3 Eksport";"2024M07";3070113
"3 Eksport";"2024M08";2962193
"3 Eksport";"2024M09";2934121
"3 Eksport";"2024M10";2697042
"3 Eksport";"2024M11";3041763
"3 Eksport";"2024M12";3150466
"3 Eksport";"2025M01";3464021
"3 Eksport";"2025M02";3353445
"4 Bruttoforbruk av elektrisk kraft";"1993M01";11300491
"4 Bruttoforbruk av elektrisk kraft";"1993M02";10245087
"4 Bruttoforbruk av elektrisk kraft";"1993M03";10876705
"4 Bruttoforbruk av elektrisk kraft";"1993M04";8844129
"4 Bruttoforbruk av elektrisk kraft";"1993M05";7766221
"4 Bruttoforbruk av elektrisk kraft";"1993M06";7430983
"4 Bruttoforbruk av elektrisk kraft";"1993M07";6761597
"4 Bruttoforbruk av elektrisk kraft";"1993M08";7370990
"4 Bruttoforbruk av elektrisk kraft";"1993M09";8400213
"4 Bruttoforbruk av elektrisk kraft";"1993M10";9947534
"4 Bruttoforbruk av elektrisk kraft";"1993M11";11121963
"4 Bruttoforbruk av elektrisk kraft";"1993M12";12152119
"4 Bruttoforbruk av elektrisk kraft";"1994M01";12302806
"4 Bruttoforbruk av elektrisk kraft";"1994M02";11475370
"4 Bruttoforbruk av elektrisk kraft";"1994M03";10879071
"4 Bruttoforbruk av elektrisk kraft";"1994M04";9128509
"4 Bruttoforbruk av elektrisk kraft";"1994M05";8375029
"4 Bruttoforbruk av elektrisk kraft";"1994M06";7950174
"4 Bruttoforbruk av elektrisk kraft";"1994M07";7006348
"4 Bruttoforbruk av elektrisk kraft";"1994M08";7290395
"4 Bruttoforbruk av elektrisk kraft";"1994M09";8082674
"4 Bruttoforbruk av elektrisk kraft";"1994M10";9672079
"4 Bruttoforbruk av elektrisk kraft";"1994M11";10257243
"4 Bruttoforbruk av elektrisk kraft";"1994M12";10930664
"4 Bruttoforbruk av elektrisk kraft";"1995M01";11803037
"4 Bruttoforbruk av elektrisk kraft";"1995M02";10441481
"4 Bruttoforbruk av elektrisk kraft";"1995M03";11059026
"4 Bruttoforbruk av elektrisk kraft";"1995M04";9534646
"4 Bruttoforbruk av elektrisk kraft";"1995M05";8788386
"4 Bruttoforbruk av elektrisk kraft";"1995M06";8053567
"4 Bruttoforbruk av elektrisk kraft";"1995M07";7326794
"4 Bruttoforbruk av elektrisk kraft";"1995M08";7652354
"4 Bruttoforbruk av elektrisk kraft";"1995M09";8174024
"4 Bruttoforbruk av elektrisk kraft";"1995M10";9619569
"4 Bruttoforbruk av elektrisk kraft";"1995M11";11366934
"4 Bruttoforbruk av elektrisk kraft";"1995M12";12703278
"4 Bruttoforbruk av elektrisk kraft";"1996M01";12755692
"4 Bruttoforbruk av elektrisk kraft";"1996M02";12062418
"4 Bruttoforbruk av elektrisk kraft";"1996M03";11260280
"4 Bruttoforbruk av elektrisk kraft";"1996M04";9255391
"4 Bruttoforbruk av elektrisk kraft";"1996M05";8724021
"4 Bruttoforbruk av elektrisk kraft";"1996M06";7290989
"4 Bruttoforbruk av elektrisk kraft";"1996M07";6999842
"4 Bruttoforbruk av elektrisk kraft";"1996M08";6916875
"4 Bruttoforbruk av elektrisk kraft";"1996M09";7640088
"4 Bruttoforbruk av elektrisk kraft";"1996M10";8782545
"4 Bruttoforbruk av elektrisk kraft";"1996M11";10341994
"4 Bruttoforbruk av elektrisk kraft";"1996M12";11694391
"4 Bruttoforbruk av elektrisk kraft";"1997M01";11580641
"4 Bruttoforbruk av elektrisk kraft";"1997M02";10148150
"4 Bruttoforbruk av elektrisk kraft";"1997M03";10621527
"4 Bruttoforbruk av elektrisk kraft";"1997M04";9858183
"4 Bruttoforbruk av elektrisk kraft";"1997M05";8909021
"4 Bruttoforbruk av elektrisk kraft";"1997M06";7893941
"4 Bruttoforbruk av elektrisk kraft";"1997M07";7195964
"4 Bruttoforbruk av elektrisk kraft";"1997M08";7194979
"4 Bruttoforbruk av elektrisk kraft";"1997M09";8443526
"4 Bruttoforbruk av elektrisk kraft";"1997M10";10451394
"4 Bruttoforbruk av elektrisk kraft";"1997M11";11130447
"4 Bruttoforbruk av elektrisk kraft";"1997M12";12019361
"4 Bruttoforbruk av elektrisk kraft";"1998M01";12243071
"4 Bruttoforbruk av elektrisk kraft";"1998M02";10774313
"4 Bruttoforbruk av elektrisk kraft";"1998M03";11732429
"4 Bruttoforbruk av elektrisk kraft";"1998M04";10102371
"4 Bruttoforbruk av elektrisk kraft";"1998M05";8805710
"4 Bruttoforbruk av elektrisk kraft";"1998M06";8028651
"4 Bruttoforbruk av elektrisk kraft";"1998M07";7761046
"4 Bruttoforbruk av elektrisk kraft";"1998M08";8049953
"4 Bruttoforbruk av elektrisk kraft";"1998M09";8461120
"4 Bruttoforbruk av elektrisk kraft";"1998M10";10486181
"4 Bruttoforbruk av elektrisk kraft";"1998M11";11919145
"4 Bruttoforbruk av elektrisk kraft";"1998M12";12246808
"4 Bruttoforbruk av elektrisk kraft";"1999M01";12551308
"4 Bruttoforbruk av elektrisk kraft";"1999M02";11351097
"4 Bruttoforbruk av elektrisk kraft";"1999M03";11832808
"4 Bruttoforbruk av elektrisk kraft";"1999M04";9888244
"4 Bruttoforbruk av elektrisk kraft";"1999M05";9101718
"4 Bruttoforbruk av elektrisk kraft";"1999M06";8268798
"4 Bruttoforbruk av elektrisk kraft";"1999M07";7593514
"4 Bruttoforbruk av elektrisk kraft";"1999M08";8002610
"4 Bruttoforbruk av elektrisk kraft";"1999M09";8218766
"4 Bruttoforbruk av elektrisk kraft";"1999M10";10106119
"4 Bruttoforbruk av elektrisk kraft";"1999M11";10864584
"4 Bruttoforbruk av elektrisk kraft";"1999M12";13070449
"4 Bruttoforbruk av elektrisk kraft";"2000M01";12757489
"4 Bruttoforbruk av elektrisk kraft";"2000M02";11938234
"4 Bruttoforbruk av elektrisk kraft";"2000M03";12350041
"4 Bruttoforbruk av elektrisk kraft";"2000M04";10406966
"4 Bruttoforbruk av elektrisk kraft";"2000M05";9113578
"4 Bruttoforbruk av elektrisk kraft";"2000M06";8467130
"4 Bruttoforbruk av elektrisk kraft";"2000M07";8038785
"4 Bruttoforbruk av elektrisk kraft";"2000M08";8446429
"4 Bruttoforbruk av elektrisk kraft";"2000M09";8850806
"4 Bruttoforbruk av elektrisk kraft";"2000M10";9991756
"4 Bruttoforbruk av elektrisk kraft";"2000M11";11113230
"4 Bruttoforbruk av elektrisk kraft";"2000M12";12454896
"4 Bruttoforbruk av elektrisk kraft";"2001M01";13610585
"4 Bruttoforbruk av elektrisk kraft";"2001M02";12668287
"4 Bruttoforbruk av elektrisk kraft";"2001M03";13039744
"4 Bruttoforbruk av elektrisk kraft";"2001M04";10703532
"4 Bruttoforbruk av elektrisk kraft";"2001M05";9152324
"4 Bruttoforbruk av elektrisk kraft";"2001M06";8106280
"4 Bruttoforbruk av elektrisk kraft";"2001M07";7606265
"4 Bruttoforbruk av elektrisk kraft";"2001M08";8015905
"4 Bruttoforbruk av elektrisk kraft";"2001M09";8380283
"4 Bruttoforbruk av elektrisk kraft";"2001M10";10006093
"4 Bruttoforbruk av elektrisk kraft";"2001M11";11487573
"4 Bruttoforbruk av elektrisk kraft";"2001M12";12741369
"4 Bruttoforbruk av elektrisk kraft";"2002M01";12967012
"4 Bruttoforbruk av elektrisk kraft";"2002M02";11197495
"4 Bruttoforbruk av elektrisk kraft";"2002M03";11662676
"4 Bruttoforbruk av elektrisk kraft";"2002M04";9948869
"4 Bruttoforbruk av elektrisk kraft";"2002M05";8890261
"4 Bruttoforbruk av elektrisk kraft";"2002M06";7940865
"4 Bruttoforbruk av elektrisk kraft";"2002M07";7330356
"4 Bruttoforbruk av elektrisk kraft";"2002M08";7539642
"4 Bruttoforbruk av elektrisk kraft";"2002M09";8172061
"4 Bruttoforbruk av elektrisk kraft";"2002M10";10948677
"4 Bruttoforbruk av elektrisk kraft";"2002M11";11938216
"4 Bruttoforbruk av elektrisk kraft";"2002M12";12392023
"4 Bruttoforbruk av elektrisk kraft";"2003M01";11917925
"4 Bruttoforbruk av elektrisk kraft";"2003M02";10495123
"4 Bruttoforbruk av elektrisk kraft";"2003M03";10662169
"4 Bruttoforbruk av elektrisk kraft";"2003M04";9161845
"4 Bruttoforbruk av elektrisk kraft";"2003M05";8845487
"4 Bruttoforbruk av elektrisk kraft";"2003M06";7834963
"4 Bruttoforbruk av elektrisk kraft";"2003M07";7335634
"4 Bruttoforbruk av elektrisk kraft";"2003M08";7647486
"4 Bruttoforbruk av elektrisk kraft";"2003M09";8342181
"4 Bruttoforbruk av elektrisk kraft";"2003M10";10511216
"4 Bruttoforbruk av elektrisk kraft";"2003M11";10692858
"4 Bruttoforbruk av elektrisk kraft";"2003M12";11711676
"4 Bruttoforbruk av elektrisk kraft";"2004M01";12871299
"4 Bruttoforbruk av elektrisk kraft";"2004M02";11548194
"4 Bruttoforbruk av elektrisk kraft";"2004M03";11531321
"4 Bruttoforbruk av elektrisk kraft";"2004M04";9612035
"4 Bruttoforbruk av elektrisk kraft";"2004M05";8976444
"4 Bruttoforbruk av elektrisk kraft";"2004M06";8142523
"4 Bruttoforbruk av elektrisk kraft";"2004M07";7713196
"4 Bruttoforbruk av elektrisk kraft";"2004M08";8041220
"4 Bruttoforbruk av elektrisk kraft";"2004M09";8755696
"4 Bruttoforbruk av elektrisk kraft";"2004M10";10506369
"4 Bruttoforbruk av elektrisk kraft";"2004M11";11815542
"4 Bruttoforbruk av elektrisk kraft";"2004M12";12580691
"4 Bruttoforbruk av elektrisk kraft";"2005M01";12736733
"4 Bruttoforbruk av elektrisk kraft";"2005M02";11829007
"4 Bruttoforbruk av elektrisk kraft";"2005M03";12466025
"4 Bruttoforbruk av elektrisk kraft";"2005M04";10285193
"4 Bruttoforbruk av elektrisk kraft";"2005M05";9593486
"4 Bruttoforbruk av elektrisk kraft";"2005M06";8760841
"4 Bruttoforbruk av elektrisk kraft";"2005M07";8119513
"4 Bruttoforbruk av elektrisk kraft";"2005M08";8399667
"4 Bruttoforbruk av elektrisk kraft";"2005M09";8980396
"4 Bruttoforbruk av elektrisk kraft";"2005M10";10245932
"4 Bruttoforbruk av elektrisk kraft";"2005M11";11370175
"4 Bruttoforbruk av elektrisk kraft";"2005M12";13278623
"4 Bruttoforbruk av elektrisk kraft";"2006M01";13524386
"4 Bruttoforbruk av elektrisk kraft";"2006M02";12087718
"4 Bruttoforbruk av elektrisk kraft";"2006M03";13182995
"4 Bruttoforbruk av elektrisk kraft";"2006M04";10447982
"4 Bruttoforbruk av elektrisk kraft";"2006M05";9218650
"4 Bruttoforbruk av elektrisk kraft";"2006M06";8179121
"4 Bruttoforbruk av elektrisk kraft";"2006M07";7554671
"4 Bruttoforbruk av elektrisk kraft";"2006M08";7879208
"4 Bruttoforbruk av elektrisk kraft";"2006M09";8026271
"4 Bruttoforbruk av elektrisk kraft";"2006M10";9638027
"4 Bruttoforbruk av elektrisk kraft";"2006M11";11032436
"4 Bruttoforbruk av elektrisk kraft";"2006M12";11746435
"4 Bruttoforbruk av elektrisk kraft";"2007M01";12913598
"4 Bruttoforbruk av elektrisk kraft";"2007M02";12351262
"4 Bruttoforbruk av elektrisk kraft";"2007M03";11720674
"4 Bruttoforbruk av elektrisk kraft";"2007M04";10193508
"4 Bruttoforbruk av elektrisk kraft";"2007M05";9700032
"4 Bruttoforbruk av elektrisk kraft";"2007M06";8567463
"4 Bruttoforbruk av elektrisk kraft";"2007M07";8419069
"4 Bruttoforbruk av elektrisk kraft";"2007M08";8644815
"4 Bruttoforbruk av elektrisk kraft";"2007M09";9333737
"4 Bruttoforbruk av elektrisk kraft";"2007M10";10658041
"4 Bruttoforbruk av elektrisk kraft";"2007M11";12067243
"4 Bruttoforbruk av elektrisk kraft";"2007M12";13103056
"4 Bruttoforbruk av elektrisk kraft";"2008M01";13165556
"4 Bruttoforbruk av elektrisk kraft";"2008M02";11986073
"4 Bruttoforbruk av elektrisk kraft";"2008M03";12492077
"4 Bruttoforbruk av elektrisk kraft";"2008M04";10789634
"4 Bruttoforbruk av elektrisk kraft";"2008M05";9692712
"4 Bruttoforbruk av elektrisk kraft";"2008M06";8989257
"4 Bruttoforbruk av elektrisk kraft";"2008M07";8459037
"4 Bruttoforbruk av elektrisk kraft";"2008M08";8504142
"4 Bruttoforbruk av elektrisk kraft";"2008M09";9091684
"4 Bruttoforbruk av elektrisk kraft";"2008M10";10687624
"4 Bruttoforbruk av elektrisk kraft";"2008M11";11903654
"4 Bruttoforbruk av elektrisk kraft";"2008M12";13029157
"4 Bruttoforbruk av elektrisk kraft";"2009M01";13518477
"4 Bruttoforbruk av elektrisk kraft";"2009M02";12384290
"4 Bruttoforbruk av elektrisk kraft";"2009M03";11948677
"4 Bruttoforbruk av elektrisk kraft";"2009M04";9477824
"4 Bruttoforbruk av elektrisk kraft";"2009M05";8774643
"4 Bruttoforbruk av elektrisk kraft";"2009M06";7834002
"4 Bruttoforbruk av elektrisk kraft";"2009M07";7521234
"4 Bruttoforbruk av elektrisk kraft";"2009M08";7941143
"4 Bruttoforbruk av elektrisk kraft";"2009M09";8741122
"4 Bruttoforbruk av elektrisk kraft";"2009M10";10861880
"4 Bruttoforbruk av elektrisk kraft";"2009M11";11302158
"4 Bruttoforbruk av elektrisk kraft";"2009M12";13503775
"4 Bruttoforbruk av elektrisk kraft";"2010M01";14978434
"4 Bruttoforbruk av elektrisk kraft";"2010M02";13150021
"4 Bruttoforbruk av elektrisk kraft";"2010M03";12525718
"4 Bruttoforbruk av elektrisk kraft";"2010M04";10247647
"4 Bruttoforbruk av elektrisk kraft";"2010M05";9392674
"4 Bruttoforbruk av elektrisk kraft";"2010M06";8474761
"4 Bruttoforbruk av elektrisk kraft";"2010M07";7939945
"4 Bruttoforbruk av elektrisk kraft";"2010M08";8184491
"4 Bruttoforbruk av elektrisk kraft";"2010M09";8750841
"4 Bruttoforbruk av elektrisk kraft";"2010M10";10731923
"4 Bruttoforbruk av elektrisk kraft";"2010M11";12751229
"4 Bruttoforbruk av elektrisk kraft";"2010M12";14868783
"4 Bruttoforbruk av elektrisk kraft";"2011M01";13600688
"4 Bruttoforbruk av elektrisk kraft";"2011M02";12444690
"4 Bruttoforbruk av elektrisk kraft";"2011M03";12349731
"4 Bruttoforbruk av elektrisk kraft";"2011M04";9676327
"4 Bruttoforbruk av elektrisk kraft";"2011M05";9038762
"4 Bruttoforbruk av elektrisk kraft";"2011M06";8353419
"4 Bruttoforbruk av elektrisk kraft";"2011M07";8179645
"4 Bruttoforbruk av elektrisk kraft";"2011M08";8346327
"4 Bruttoforbruk av elektrisk kraft";"2011M09";8969163
"4 Bruttoforbruk av elektrisk kraft";"2011M10";10473057
"4 Bruttoforbruk av elektrisk kraft";"2011M11";11077333
"4 Bruttoforbruk av elektrisk kraft";"2011M12";12561073
"4 Bruttoforbruk av elektrisk kraft";"2012M01";13544198
"4 Bruttoforbruk av elektrisk kraft";"2012M02";12724459
"4 Bruttoforbruk av elektrisk kraft";"2012M03";11642087
"4 Bruttoforbruk av elektrisk kraft";"2012M04";10525183
"4 Bruttoforbruk av elektrisk kraft";"2012M05";9381521
"4 Bruttoforbruk av elektrisk kraft";"2012M06";8643215
"4 Bruttoforbruk av elektrisk kraft";"2012M07";8493461
"4 Bruttoforbruk av elektrisk kraft";"2012M08";8557111
"4 Bruttoforbruk av elektrisk kraft";"2012M09";9316237
"4 Bruttoforbruk av elektrisk kraft";"2012M10";11131055
"4 Bruttoforbruk av elektrisk kraft";"2012M11";11706555
"4 Bruttoforbruk av elektrisk kraft";"2012M12";14364400
"4 Bruttoforbruk av elektrisk kraft";"2013M01";14366100
"4 Bruttoforbruk av elektrisk kraft";"2013M02";12546167
"4 Bruttoforbruk av elektrisk kraft";"2013M03";13075502
"4 Bruttoforbruk av elektrisk kraft";"2013M04";10886350
"4 Bruttoforbruk av elektrisk kraft";"2013M05";9557470
"4 Bruttoforbruk av elektrisk kraft";"2013M06";8458921
"4 Bruttoforbruk av elektrisk kraft";"2013M07";8145165
"4 Bruttoforbruk av elektrisk kraft";"2013M08";8346857
"4 Bruttoforbruk av elektrisk kraft";"2013M09";8873079
"4 Bruttoforbruk av elektrisk kraft";"2013M10";10589982
"4 Bruttoforbruk av elektrisk kraft";"2013M11";11811985
"4 Bruttoforbruk av elektrisk kraft";"2013M12";12577211
"4 Bruttoforbruk av elektrisk kraft";"2014M01";13953743
"4 Bruttoforbruk av elektrisk kraft";"2014M02";11693963
"4 Bruttoforbruk av elektrisk kraft";"2014M03";11977663
"4 Bruttoforbruk av elektrisk kraft";"2014M04";10229233
"4 Bruttoforbruk av elektrisk kraft";"2014M05";9661143
"4 Bruttoforbruk av elektrisk kraft";"2014M06";8614947
"4 Bruttoforbruk av elektrisk kraft";"2014M07";7848456
"4 Bruttoforbruk av elektrisk kraft";"2014M08";8299072
"4 Bruttoforbruk av elektrisk kraft";"2014M09";8794489
"4 Bruttoforbruk av elektrisk kraft";"2014M10";10625258
"4 Bruttoforbruk av elektrisk kraft";"2014M11";11649233
"4 Bruttoforbruk av elektrisk kraft";"2014M12";13394532
"4 Bruttoforbruk av elektrisk kraft";"2015M01";13590860
"4 Bruttoforbruk av elektrisk kraft";"2015M02";12125801
"4 Bruttoforbruk av elektrisk kraft";"2015M03";12303604
"4 Bruttoforbruk av elektrisk kraft";"2015M04";10472096
"4 Bruttoforbruk av elektrisk kraft";"2015M05";10006396
"4 Bruttoforbruk av elektrisk kraft";"2015M06";9227463
"4 Bruttoforbruk av elektrisk kraft";"2015M07";9051738
"4 Bruttoforbruk av elektrisk kraft";"2015M08";8962392
"4 Bruttoforbruk av elektrisk kraft";"2015M09";9117359
"4 Bruttoforbruk av elektrisk kraft";"2015M10";10723378
"4 Bruttoforbruk av elektrisk kraft";"2015M11";11796800
"4 Bruttoforbruk av elektrisk kraft";"2015M12";13015611
"4 Bruttoforbruk av elektrisk kraft";"2016M01";15079852
"4 Bruttoforbruk av elektrisk kraft";"2016M02";13111466
"4 Bruttoforbruk av elektrisk kraft";"2016M03";12681362
"4 Bruttoforbruk av elektrisk kraft";"2016M04";11039994
"4 Bruttoforbruk av elektrisk kraft";"2016M05";9671745
"4 Bruttoforbruk av elektrisk kraft";"2016M06";8657385
"4 Bruttoforbruk av elektrisk kraft";"2016M07";8512738
"4 Bruttoforbruk av elektrisk kraft";"2016M08";8894729
"4 Bruttoforbruk av elektrisk kraft";"2016M09";8661578
"4 Bruttoforbruk av elektrisk kraft";"2016M10";10985357
